district,year,season,crop,area,production,yield,temperature,rainfall,humidity,nitrogen,phosphorus,potassium,organic_carbon,ph,micronutrient_score
west midnapore,1999,rabi,urad,1342.2831598834828,798.0,0.5198697068403909,24.112779079987288,201.88290149917756,78.64425008599267,0.5360381290305807,0.9615931375475428,0.4722959849169756,0.6632909640656242,5.977298140118538,0.8054012501631289
darjiling,2009,rabi,linseed,84.86801404075447,14.0,0.1590909090909091,15.454801423571466,1406.630942768853,67.66111206893387,0.48994336810213657,0.448331694471212,0.5017442071878211,1.0056066450303718,6.360596389115056,0.7026558151418163
west midnapore,2007,kharif,other kharif pulses,409.59579121580856,336.0,0.850632911392405,25.888549898602548,2082.561982820537,71.76341350153045,0.224267994806233,0.7754355236053644,0.6867084264823855,0.4155644774324051,6.866490228007535,0.8179327285577069
maldah,2000,rabi,barley,2227.1177071487145,1180.0,0.5366075488858572,21.660012197663935,1159.783417808777,61.38806556519248,0.17879232573031018,1.010533308361774,0.20733294128862617,0.41874029753902525,8.768525410826388,0.8575803165761313
south 24 parganas,2005,whole year,turmeric,502.59057280956625,1086.0,2.049056603773585,26.257922765140975,1386.2598392509017,90.21827155585795,0.36587487554533393,0.8788653517536387,0.6371516889211446,0.41981160316601934,5.370795097184352,0.7437538668733304
west midnapore,2010,summer,rice,161334.29119399496,629634.0,3.620916912035333,27.164459328479165,1407.131790551362,52.66944118638785,0.6012629408804986,0.9678918493871509,0.6437829006309682,0.6329252493362919,7.331169979087101,0.848490691980598
kochbihar,2001,rabi,urad,3207.6327575866735,2334.0,0.6,21.506583928832182,1808.739127627854,67.10469762872481,0.30988794921700175,0.9359674832684075,0.49548675083481425,0.6931126768233465,6.209474726771208,0.5846549110665147
puruliya,2007,kharif,bajra,69.01106145822507,23.0,0.359375,29.70961462876938,1957.8097696529735,72.8339574413769,0.3410051793211505,0.7879028778427715,0.677284423766032,0.3436232230783588,6.838732138496255,0.602410293534298
west midnapore,2013,rabi,potato,71868.95567382379,1224122.0,19.969038025480824,24.721053038110735,2000.8307389716913,79.65385913205608,0.2024772312521242,0.6704064253907801,0.7312897451225621,0.45968462689559764,5.494850236043186,0.6836386748451395
north 24 parganas,2014,rabi,masoor,7545.1509032498625,6962.0,0.8875573686894441,23.511633370453247,1124.9081945817536,77.23537266602793,0.46581697004429024,0.7692011534038374,0.4737029816179836,0.6727574740968854,6.289511478987956,0.8707570063149969
west midnapore,2005,kharif,jute,5029.4708610160515,74916.0,14.382031100019198,30.41341098923254,1632.2302079321034,69.66029638123277,0.5664456217934032,0.8489912695744982,0.6264241569371678,0.7428315393502374,6.670041572973555,0.8212938615379709
barddhaman,2001,rabi,rapeseed &mustard,48946.76926012887,37606.0,0.7480357249418177,18.511539471362365,1692.1290271529015,69.63422254471725,0.32552538193749403,0.6577765979728177,0.46088172099062263,0.34644876824201687,6.638623741723787,0.6996498900947457
nadia,2008,rabi,moong(green gram),153.9720030524586,92.0,0.6174496644295302,21.626961074824504,1341.90065688171,61.40813454121777,0.1952306257118678,0.6029921922400483,0.6290887086070219,0.4490343978185183,7.608391318431142,0.5720896043586379
barddhaman,2013,whole year,sugarcane,1730.6510225588845,101564.0,64.40329740012682,26.164701799205254,1550.1998715119191,61.87258793293574,0.3214785741255004,0.6413901246824502,0.439862370986831,0.36347285160786214,6.379842751029653,0.6998405676356121
murshidabad,2000,whole year,sesamum,5124.804085789497,4066.0,0.8697326203208556,29.052391753658192,1404.15993834519,56.48257347896398,0.27484042371824813,0.7027681962104806,0.5577213858953363,0.34737428846859253,7.816102836876428,0.7856479010107837
darjiling,2008,rabi,small millets,477.01574954401514,830.0,1.5961538461538465,16.353630839406257,1840.7152378271278,75.9624355854066,0.4741606293423636,0.8456314345539899,0.5811920338327126,0.8942922872059864,7.094774144628112,0.3158949469063895
west midnapore,2014,rabi,horse-gram,548.4711335143498,270.0,0.52734375,24.114957758782197,1593.030964073765,71.38934734085119,0.6524680845388862,1.0456705292729198,0.55765394855103,0.674026034769578,6.555203904196782,0.7497896420853997
darjiling,2009,rabi,horse-gram,1.751900891226801,1.0,0.5,17.505787470550597,1656.87095984975,69.00863208847488,0.4854361034794787,0.5281713575626542,0.5253622761603607,0.8241798014069844,7.061130176781411,0.5489587840495972
haora,2003,summer,moong(green gram),74.22348622622437,31.0,0.4428571428571428,21.645827039441382,1067.189201247882,71.91399675768905,0.4581247839832667,0.621299725030663,0.5597868136672342,0.5290023182703167,7.768149575524184,0.9582160261218341
maldah,2001,rabi,peas & beans (pulses),378.1325141053976,241.0,0.6358839050131926,20.36516945143979,1067.123642485315,70.367838830918,0.21205070835485243,1.1197730492068512,0.20492240938828685,0.42379519797901677,7.359339981130889,0.8490348694754787
darjiling,1999,kharif,jute,2165.5066787727224,22470.0,9.81651376146789,19.912964903076116,107.86184824633276,60.23803861694183,0.5477808868477485,1.0500780960666098,0.4918683275787199,1.0426787181186443,7.615340690493061,0.30622020137960176
barddhaman,2007,kharif,jute,10458.347766881021,157180.0,14.193606646198305,25.2441614746704,2059.508874287273,58.899923520157586,0.3254866925161182,0.6992802191223367,0.48883821949586304,0.3570177492184698,7.809819234401518,0.6859718431171824
barddhaman,2007,winter,rice,404288.2667656338,1126762.0,2.718574172191822,25.745303309692503,1846.554964860145,70.78993008803937,0.5753599426050968,1.1174503135174587,0.7243926156151268,0.6438730183394322,5.930833839182116,0.6275375881570457
jalpaiguri,2012,autumn,maize,3315.4531530966956,6360.0,1.7715877437325904,23.76381641684987,1977.6585639351329,52.893525854799734,0.520955229093378,0.5032840006982469,0.5812979385317558,1.061011670460939,5.570337967220317,0.6698585416955553
darjiling,2008,whole year,dry chillies,519.1610512562902,557.0,1.052930056710775,17.80558904310878,1630.4712514262117,70.19397447764247,0.42075949553118364,0.5821460729169866,0.5583592153650014,0.8563858369293542,5.971561546550348,0.5521677489521518
darjiling,2012,kharif,horse-gram,2.082935748357332,1.0,0.5,15.516621241833693,1470.2066356522153,68.36858381113139,0.483371271480189,1.0503604661141042,0.5284280325600147,0.9893359804259223,6.339536917876035,0.3024072344522092
barddhaman,2001,kharif,dry ginger,160.47243631977105,356.0,2.282051282051282,23.843529358887054,1675.0250833209136,57.86448333742789,0.322237970169232,0.63979486137843,0.3610480780976484,0.3101202331480338,8.039057010168229,0.7900354662927584
birbhum,2000,kharif,jute,110.26773213509239,1990.0,18.77358490566038,23.844838313176346,917.8158173063423,59.26797107716819,0.2848100711992571,0.9205413298219638,0.5869603236194066,0.349365306108335,7.107460062067751,0.788739472027766
west midnapore,1999,kharif,maize,889.0607980031052,1380.0,1.5488215488215489,28.5740976751878,152.5692302681525,65.47063551349676,0.5504268007517509,1.050586710414126,0.4397971272088973,0.7023119132549216,6.908570435617551,0.8527018566157603
east midnapore,2003,whole year,turmeric,1248.8222905606253,2648.0,2.1476074614760745,25.034793325391288,915.4203445686142,61.55897888443114,0.5529867862868337,0.9317412809672377,0.5636174528543886,0.8320832821450834,6.774973479425989,0.9150578529110079
murshidabad,2000,whole year,sesamum,4833.994912658677,4066.0,0.8697326203208556,23.314704982185013,1277.5730553585615,61.786250311610374,0.3233189811124882,0.8367726319013443,0.5995300418552912,0.4443937737956237,6.881027569969591,0.733554251655641
bankura,1997,whole year,safflower,203.0243568539037,100.0,0.5,27.417672360626565,129.95356266174434,73.43642203787653,0.6521371856677141,0.796101879882809,0.8064929087740176,0.6137666929862065,6.276050426502883,0.9441119875301586
nadia,2006,rabi,masoor,19833.927965951723,13519.0,0.6803381812691862,26.912107388853354,937.8855174312444,63.39555006377249,0.22635039660419798,0.6825860553753658,0.678205832202579,0.3949829648311655,7.689981081204241,0.756066558794374
darjiling,2001,kharif,small millets,569.1618043443389,830.0,1.5961538461538465,19.02729362527011,1030.9413866363639,69.47330249588464,0.5119317384125232,0.5643829565455374,0.5043842816569818,0.8302779950951561,6.672505225920412,0.5893708650440683
maldah,2000,whole year,sesamum,303.9848037919264,101.0,0.3531468531468531,25.374482640439314,1322.095651265222,72.45075821229125,0.22600836538502744,0.9478876623155007,0.22352949689342871,0.4592517114901571,7.5104799055607385,0.6316941249879955
west midnapore,2000,kharif,sunflower,3.330933019318085,8.0,2.6666666666666665,22.421450772230866,1433.8432062703112,72.74472187678765,0.2060385317173137,0.6402523749559595,0.6158650245984375,0.4891483826559762,5.814193304820684,0.7423774807076126
barddhaman,2001,summer,rice,185650.82040951142,719603.0,3.2930008008237044,26.343979179364027,1564.439183418127,66.33398391350246,0.538013860822579,1.1902374499809385,0.7129952947525233,0.5806412684454455,6.72012251305462,0.8686516609562603
uttar dinajpur,2007,rabi,wheat,32934.44467741325,98219.0,2.6935143288084467,26.292651971797824,1980.0603050414516,60.68659331867794,0.5342010674543711,0.8548749039081718,0.517231393070816,0.44840916092038774,5.899460036202369,0.6500017584522324
darjiling,2006,kharif,niger seed,79.95031203401906,45.0,0.6,18.997537367118692,1219.7635867571685,76.34372486508775,0.5537995428500178,0.47306643827155653,0.5009362325497339,1.0064043144816985,6.864761521820178,0.5489400105605267
west midnapore,2002,autumn,rice,52476.59801337216,118717.0,2.3074695329355284,23.099797229093568,1593.4011059740315,85.9467317407969,0.1935854857129681,0.6235991609104807,0.786780856085147,0.457855088591239,6.073869508544633,0.7310973583569335
jalpaiguri,2003,whole year,coconut,833.3471073726712,10475.4,13.26,26.496257230605682,1926.4958867353814,71.22045972444096,0.4480315368953394,0.40783197096980156,0.46680044435230406,0.8712591478451881,5.991375015636126,0.844660118237947
barddhaman,2012,kharif,sunflower,122.47661372260166,182.0,1.3582089552238803,20.33536070376402,922.1599395338521,67.2132283438658,0.2397840738217642,0.5980392440457831,0.3542129599701754,0.3385440848295412,6.348267771653034,0.7368960714860378
darjiling,2002,rabi,groundnut,12.622100973836037,18.0,1.5,17.14390723316117,1150.7011253889427,69.62898868919123,0.48586025167190783,0.6275968892707554,0.5218978903058381,0.8856752884824025,6.963886063489218,0.5822914805601049
jalpaiguri,2012,kharif,horse-gram,60.63700166239621,34.0,0.5862068965517241,26.14408314906833,1983.1337876833609,63.63187955622106,0.47196844417946354,0.4029641072004582,0.4942939077346893,0.8690280921871234,5.439130534207238,0.690748485748496
barddhaman,2010,kharif,mesta,160.929916510186,44.0,0.2716049382716049,21.10647861968404,1130.8786601654542,65.27051378849993,0.31717220054897827,0.7883164643759989,0.4326607024804759,0.41171022423746995,6.707803014538289,0.7250102026749727
darjiling,2004,kharif,urad,283.7391613010691,175.0,0.6730769230769231,17.101452963986887,1116.1177215361677,77.11605815810381,0.49232024904546595,0.8561409094343124,0.535453820627702,0.8455344937221128,6.7638156285084925,0.2901187228805863
barddhaman,2002,rabi,rapeseed &mustard,37988.30754371072,36224.0,0.8582665971662796,22.550444505555586,1445.2961236052945,66.00769675302033,0.29809618457159204,0.5325167454473904,0.4071141998935231,0.37656422441576065,6.807696650067452,0.9583944243441822
bankura,2008,kharif,dry ginger,325.14455213726376,424.0,1.5703703703703704,25.277151677930647,2255.867221491658,69.80306847066332,0.5533491552844048,0.7901756534681914,0.7719071954143901,0.49582259579576277,6.3471561679370705,1.0592198446974876
kochbihar,2004,rabi,peas & beans (pulses),6.126721145162916,4.0,0.5714285714285714,25.37449348599625,2205.9772900183234,76.41317076187194,0.34245383322966466,0.967401164347649,0.5170047593843443,0.6175208188627157,6.317285359522268,0.8733811604932022
west midnapore,1999,rabi,safflower,9.311729608969797,1.0,0.1,21.471576794862152,161.6065155368665,80.34582497356195,0.21564310837496323,0.6859232324507424,0.7190785897868784,0.5315883335691424,6.305350059731504,0.7083980626685833
darjiling,2007,kharif,groundnut,1.1352732230323856,1.0,1.0,18.65239200877652,1375.028241133748,70.99411352733883,0.5344161773636417,0.5422629620989289,0.5558626494666727,0.9738591142355321,7.588360598507787,0.6051461652614024
birbhum,2013,rabi,linseed,242.20903394839794,73.0,0.2979591836734694,21.84103381437127,1318.513306424671,79.66859233178839,0.3925668382090419,0.9421811499047197,0.5668805149754029,0.4150567804818079,5.433955406866949,0.6382445807796191
dakshin dinajpur,2001,rabi,barley,21.829221410913096,17.0,0.8095238095238095,26.389616362023833,937.8007869114415,55.15249526208575,0.4935054408170847,0.5155120416725734,0.6954838935269593,0.5948419944860142,7.175170523045099,0.9153143694757888
uttar dinajpur,2009,rabi,maize,12773.063240096013,78382.0,6.6000336813742,25.429685025996182,1433.9853580322765,63.728482412399394,0.4666111534742728,0.7738734383662405,0.4588294231473694,0.5856288839394025,6.25164670043751,0.7601775423131224
north 24 parganas,2005,kharif,cotton(lint),127.02871709939373,445.0,3.248175182481752,20.965288785728603,1009.199767889329,80.4224189883319,0.4107000981924534,0.7228310154795311,0.6279665214909691,0.5873967349264321,6.918704545852176,0.9231497073531337
north 24 parganas,2010,winter,rice,141230.12625349307,302957.0,2.374680587562118,28.23120799777267,1259.5537882469828,77.08772200753906,0.3279063208134095,1.0306237978811477,0.6196590952180061,0.6978604072466259,5.669396005381971,0.8962186103809957
puruliya,2007,kharif,bajra,68.94554189791242,23.0,0.359375,25.2234945062866,2116.443578018593,79.31391330143603,0.348383856446825,0.926784938875706,0.6683397233355077,0.288435827988406,8.007337264739014,0.48767305707551556
dakshin dinajpur,2009,summer,groundnut,293.49123833693363,409.0,1.636,27.214516812122227,757.4045021874089,70.71202955243093,0.42863983899427655,0.3840913605575998,0.6494376460058483,0.558724266822163,6.5083629958967375,0.6705310145300076
barddhaman,2014,rabi,masoor,2155.598594846515,1556.0,0.8116849243609807,25.340092561316773,1422.5865198074262,71.33317351550824,0.24179807732999156,0.6936752991083319,0.36742634917949474,0.34891355541552377,6.537035761657627,0.7604991972716492
west midnapore,2003,whole year,dry chillies,6160.92198603677,4970.0,0.8436598200645051,25.743422875962015,1704.2704550912447,62.57986135835208,0.21452808487698588,0.6940348904453167,0.8305882276481077,0.5189353969720549,5.135738934610581,0.8745209708179312
murshidabad,2002,kharif,dry ginger,242.1326135608767,373.0,1.445736434108527,22.568765273265274,1484.0529544756328,62.688765552569436,0.275366389311027,0.8856282448694549,0.49476361988472656,0.41347952571838337,6.50735776723491,0.6684246992420423
darjiling,2000,summer,rice,431.43861882080313,1213.0,2.5863539445629,16.929630641652107,667.2815953697158,64.09895354586328,0.511292726553918,0.5365114504070227,0.5148058554696023,0.9443388222067789,6.125948281942256,0.5860631087876611
jalpaiguri,2014,rabi,urad,283.5057337475106,377.0,1.356115107913669,24.600603780817785,1755.0083943823777,68.82800789646305,0.5309023681455589,0.4305003534336189,0.5644642540003435,1.0415289713882283,5.983638457097144,0.6256913019314372
south 24 parganas,2006,whole year,turmeric,558.8408498635383,1113.0,2.0054054054054054,29.790966662599732,1204.0253328953931,70.48775165922541,0.3963473053569962,0.6882779151932683,0.7230429624458649,0.5148506556701788,7.090652412121844,0.7791305941150377
west midnapore,2003,whole year,turmeric,1338.654299653196,1891.0,1.3316901408450703,24.013650954332125,1478.7806071574676,65.29737989028074,0.5917899429074243,0.9187692228651627,0.5318042703079531,0.7889550532495878,6.857506957136264,0.8938941510495331
maldah,2006,whole year,dry chillies,2115.5231357812313,1759.0,0.8768693918245264,28.421907749686635,1133.0985447435646,70.72442892094514,0.2420620563866663,0.9484623394784085,0.1978870237761469,0.38891700242437954,6.346260009937964,0.7078904575783965
puruliya,1997,kharif,other kharif pulses,137.96327668506757,55.0,0.3666666666666666,23.10250555483252,109.98836298680226,46.377328115893135,0.31238379738170574,0.849217132689738,0.6383851216951127,0.3848230228464392,6.059163997871508,0.5008929592200729
north 24 parganas,1999,kharif,sunflower,7.916074661757262,9.0,1.2857142857142858,26.68846149495718,116.0102201332546,84.45700492395605,0.47511425641150556,0.9309143549337723,0.505847678636652,0.7057969422105222,7.591916895097539,0.9959795643505568
nadia,2014,kharif,mesta,513.8323914914237,5439.0,10.899799599198396,24.864828215129574,1148.7029917567852,54.02903689895216,0.19338389352022448,0.662395627387142,0.6074543112616807,0.4448572472798702,6.568598718862342,0.6626000373787214
west midnapore,2014,rabi,other  rabi pulses,134.90322293226546,57.0,0.4222222222222222,21.72877452540673,1528.5285386900507,58.2190950297877,0.5310699913485123,0.9813715750685509,0.5297027387452412,0.8553238289683203,6.523245519850428,0.8507478720547846
bankura,2004,whole year,dry chillies,1274.9954452493844,1381.0,0.956371191135734,23.207126001541052,1451.1799977290361,79.8066394606457,0.558274342838869,0.8518864851505434,0.6878142678451116,0.6971402393135758,6.205222955155929,1.0546556710566395
darjiling,2013,rabi,rapeseed &mustard,466.9541051756835,263.0,0.650990099009901,20.13157859055023,1757.3872621292055,65.50250681148431,0.46478198107170654,0.9662435680102289,0.5361150367305045,0.8649658377302281,6.971954721636669,0.2846879651138038
hugli,2013,rabi,wheat,87.85203611904427,189.0,2.27710843373494,24.24959879791671,970.9371456455312,70.79440044142184,0.33955440408076004,0.9076479022600962,0.8119244607627193,0.5358781013209793,6.228546689037279,0.7689771332282304
barddhaman,2003,kharif,dry ginger,152.69741305421206,254.0,1.7762237762237765,24.309215366090996,1304.404146139777,72.77516762987432,0.5659189361189785,0.9383258821673247,0.6496946231173584,0.5804344291712273,5.7976325567873435,0.6474958671645572
jalpaiguri,2014,summer,groundnut,2999.629977021121,7627.0,2.2849011384062314,26.050285304948165,1569.548029026614,71.69708861973227,0.41845845571246254,0.4497869216657566,0.6300061491338513,0.9304901848397832,5.9805219904494615,0.6668832862456371
darjiling,2002,rabi,moong(green gram),23.864334927823588,18.0,0.6923076923076923,15.551792654113965,1243.15905813505,70.35246377529081,0.5641804925194246,0.5965289178452949,0.5082034437184758,1.0894399052071795,6.857008388589059,0.5883860208436769
west midnapore,2004,whole year,coconut,1165.8963081333216,18433.4,16.02904347826087,26.819391435707544,1620.392743885115,83.43878191100515,0.6005777289509373,0.9474688439427862,0.5131528124479181,0.683687824129575,5.9268363718620956,0.8406226929139846
north 24 parganas,2000,summer,rice,115088.34784928299,341715.0,3.132786930333617,26.82270982605036,1244.6730540876044,82.8487437929836,0.5110472816205874,0.8637876447954298,0.5777017192757938,0.746034633472991,5.776136119627213,0.9670723406622337
jalpaiguri,2011,summer,maize,10004.945496024518,24946.0,2.7290230828136965,23.379452284506982,2729.5036299527774,65.21793693761833,0.4667713328518333,0.4247956710861854,0.506159576413004,0.8410450048502303,5.928684321604336,0.7481709771584933
barddhaman,1999,summer,groundnut,427.16070671604535,627.0,1.489311163895487,24.66497053797197,141.11272196343432,68.40354356623367,0.37719502004738015,0.6580904523265371,0.41895645140653315,0.39484933053732507,6.3606660921248945,0.7585283005533762
west midnapore,2010,rabi,gram,4.159469996631932,6.0,1.2,26.32462964606378,1377.3656686128168,75.67219976669807,0.5648581489462854,0.8059638149189465,0.5480655311045138,0.629960475128977,7.2955245591457745,0.7228073520208103
nadia,2003,kharif,dry ginger,152.54483328389307,184.0,1.1719745222929936,23.191087348719126,1190.1721702080347,66.3374741330763,0.18097284164636712,0.6070544474793376,0.5056433256846797,0.49157397344462783,6.5361452433305836,0.6700564299161846
nadia,2014,rabi,rapeseed &mustard,77054.97905532028,96032.0,1.2172436084316731,24.821001267682814,1208.9559105650853,64.69687986415106,0.1966050481151835,0.8457160060332601,0.5575799017214264,0.4089898866359716,7.471187115365323,0.7488228932680121
uttar dinajpur,2000,rabi,masoor,1680.7152325970685,880.0,0.5317220543806647,23.655656847072148,1257.8884356931276,52.45754838524746,0.4812662122605857,0.6585005349776994,0.5134038012743466,0.5067046875810838,6.668521698865491,0.7262741231468908
kochbihar,2012,summer,rice,61835.906205254774,176821.0,3.282425885017357,24.409797110820136,1878.7537833439428,68.80371647448503,0.3047739462001412,0.9268769975286583,0.4548135041676107,0.7312868392065264,6.316883093431093,0.8851060368310024
darjiling,2002,rabi,wheat,2353.7975814181987,4662.0,1.6787900612171407,19.711716098382645,1084.0324508062292,65.61865836504369,0.4965934006616119,1.0251873564306628,0.49545860316015716,0.9439843366673176,6.99811539756201,0.3227596085030934
west midnapore,2006,autumn,rice,39944.26337423714,81267.0,1.96050853999807,24.898293705726445,1694.796886590557,77.39525092425163,0.15665532844294974,0.6294214294560021,0.7607675382409732,0.5181995650554223,6.180099719150934,0.8372272173612656
west midnapore,2002,rabi,masoor,507.46500369533476,352.0,0.6782273603082851,25.453017291665294,1684.9368856523479,74.25813654542102,0.592294369957548,0.9965405004854779,0.5319305919473665,0.7165355441342687,5.45564420423479,0.8021902000849421
darjiling,2005,whole year,potato,5817.152321641885,108476.0,16.33182776272207,18.649665968044726,1323.4595472425392,72.40413081748866,0.5403000664360766,0.849681147227509,0.6666234531472378,1.0518512526033017,6.491456543780234,0.3196701291862989
nadia,2004,kharif,sunflower,1197.4624171576088,2092.0,1.527007299270073,29.998602832444085,1366.6384392769223,69.92934978974885,0.2085138002890404,0.7175364668935355,0.6102433009436231,0.4419742200043986,7.219497546938414,0.6822664341253737
barddhaman,2007,rabi,wheat,2038.1739885827144,6022.0,2.717509025270758,24.88845653850505,2419.8948634072244,78.7457488356708,0.32877154256134433,0.6154451437678503,0.4278367151219364,0.3716665963127262,7.4668574540013495,0.8731257359076727
nadia,2009,autumn,groundnut,22.443593112853492,34.0,1.36,28.555535104327188,1390.5643511795738,68.04255533879109,0.19245525762659726,0.7383777849549845,0.5101449893174712,0.46750998750124284,8.051739133848526,0.778976738136243
uttar dinajpur,1999,summer,rice,69510.56531801244,273480.0,2.932792844963485,21.350717425092817,145.0634829523231,56.20486831122672,0.4964972443971363,0.8871124505033159,0.46462672027309404,0.5298489647064137,7.294350712072829,0.6944477380202659
maldah,2009,summer,moong(green gram),139.7792499631725,84.0,0.6363636363636364,23.512605339305683,1260.3791070558757,74.0564946976485,0.23808462777065426,1.026389458952509,0.236994510667071,0.4810736175646364,7.560130902693087,0.6967083466864276
barddhaman,2002,autumn,dry chillies,749.7921704570001,640.0,0.8743169398907104,26.13745665369473,1413.952316137383,66.34513202014625,0.3388486561752053,0.6266146054013599,0.37637539827866195,0.4293125235889268,8.299213153152117,0.7312268664829047
darjiling,2000,rabi,wheat,3114.691413268676,6250.0,1.9201228878648235,17.204657446866157,766.65423128906,60.05322333636529,0.48099006830745095,0.5507072919171445,0.570393720441956,0.9321249249096268,6.883030728605151,0.572058285839175
barddhaman,2008,rabi,khesari,454.68563278273723,130.0,0.2589641434262948,26.304552115806807,1666.3009271673614,74.55847928628788,0.5320427398282273,1.1394397818518736,0.7309299663254571,0.5100631446476742,6.290944170917544,0.8998492667601072
west midnapore,2004,rabi,urad,1179.9601425706794,1114.0,0.940084388185654,21.202243268414822,1696.1173616416659,70.97367132102708,0.5674110206630074,0.9160393115019997,0.6005841952827545,0.6911993940027404,5.917035992208049,0.7371140489653633
south 24 parganas,2002,kharif,cotton(lint),734.4877858029902,1414.0,1.75,30.00891590381087,1164.0321380610167,72.15624216728365,0.3775445238547876,0.7392169332081082,0.8929725197624512,0.5135355213261397,5.776521784393775,0.9329283536164392
birbhum,1998,whole year,dry chillies,511.45475783802124,844.0,1.6168582375478928,25.799560633424676,95.72207474018724,71.05066160797233,0.3624036700484925,1.0217254984695807,0.5247824916451571,0.37471316869352156,5.678074839686738,0.7814251082092633
south 24 parganas,2006,rabi,gram,13.487055192923862,8.0,0.6666666666666666,27.026415712525047,1265.548856245356,86.80904133266255,0.3774496088951051,0.7552625974437279,0.8745681030949847,0.6029325016873833,6.972063397124546,0.7098212601118479
darjiling,2008,kharif,soyabean,482.1013028104702,288.0,0.6,17.129543417010343,1596.3836149459246,68.14599727418312,0.4579824258070775,1.118541167230736,0.5506708096890784,1.1053722639218875,6.072357193941495,0.2958461449801863
jalpaiguri,2000,rabi,rapeseed &mustard,9843.038093774467,4720.0,0.572051872500303,23.489615959242123,1206.1109253835498,61.96219668816178,0.46997960505037234,0.49697684360430416,0.4998633111336498,0.9969941082282004,6.5587974207202135,0.6979636858161805
jalpaiguri,2011,rabi,wheat,17084.359414815153,42711.0,2.492181117983429,28.42729408504416,2492.751145706808,70.49450087000606,0.5012098445143666,0.4619696588606741,0.5223601157216559,0.9679132336689921,5.637572749503592,0.7424182301745775
darjiling,2002,whole year,arecanut,288.6520487062115,482.0,1.951417004048583,17.346250920502502,1388.8887792790104,52.900619808851054,0.5176626856220071,0.5520190259227705,0.5751244653577262,0.9991087984191073,6.887352622296889,0.5557197116679224
dakshin dinajpur,1999,kharif,dry ginger,275.42763749366196,358.0,1.3065693430656935,23.49934855787862,100.56889087403567,64.86798885176859,0.4205016413504957,0.37459203172484157,0.7105868312993849,0.6255755317786873,7.089141789835115,0.7145101155965541
bankura,2008,whole year,turmeric,318.7317738895662,449.0,1.5220338983050847,28.04513844736446,1871.7095138793961,69.12161991617121,0.7612261075629163,0.8229610109020183,0.7509177025302577,0.6467917685763692,6.381781409357911,0.9908684705326928
west midnapore,2012,kharif,sannhamp,192.16478440293594,949.0,5.047872340425532,30.262818922166087,1380.6605286976965,68.25165889504737,0.16386595213216015,0.6301075573210888,0.7428521803059616,0.4659194883070569,5.839360146903177,0.7490525264782466
west midnapore,2001,autumn,rice,23578.409726509744,58679.0,2.2695416747244246,30.059020405168226,1630.2169000402694,59.66913431697602,0.18889846561226434,0.5497094553547707,0.8050772427010783,0.4958664972939089,6.774530897752085,0.6185679167188561
nadia,2007,kharif,moong(green gram),20.53916677134297,15.0,0.75,27.79938263555018,2480.5035605352346,71.27960158440428,0.23056733936356966,0.6687651207586769,0.6272212503276794,0.4953678184101057,7.511257210963382,0.8355918916052942
