,district,state,year,month,temperature,rainfall,humidity
6920,west midnapore,west bengal,2015,1,16.86,1.24,71.13
6929,bankura,west bengal,2015,1,16.46,0.97,68.66
6939,puruliya,west bengal,2015,1,15.92,0.81,64.57
6950,birbhum,west bengal,2015,1,16.88,0.75,60.13
7090,west midnapore,west bengal,2016,1,18.55,0.22,65.18
7099,bankura,west bengal,2016,1,17.97,0.4,59.5
7109,puruliya,west bengal,2016,1,17.71,0.49,49.68
7120,birbhum,west bengal,2016,1,18.01,0.78,49.94
7260,west midnapore,west bengal,2017,1,17.42,0.19,69.66
7269,bankura,west bengal,2017,1,17.17,0.14,67.38
7279,puruliya,west bengal,2017,1,16.63,0.03,64.49
7290,birbhum,west bengal,2017,1,17.69,0.06,58.29
7430,west midnapore,west bengal,2018,1,15.2,0.0,65.87
7439,bankura,west bengal,2018,1,14.66,0.0,62.97
7449,puruliya,west bengal,2018,1,14.12,0.0,58.39
7460,birbhum,west bengal,2018,1,14.33,0.0,60.19
7600,west midnapore,west bengal,2019,1,16.93,0.0,63.3
7609,bankura,west bengal,2019,1,16.71,0.0,58.85
7619,puruliya,west bengal,2019,1,16.14,0.02,55.05
7630,birbhum,west bengal,2019,1,17.3,0.04,50.86
7770,west midnapore,west bengal,2020,1,16.35,1.33,76.06
7779,bankura,west bengal,2020,1,15.82,1.1,74.3
7789,puruliya,west bengal,2020,1,14.67,1.04,75.27
7800,birbhum,west bengal,2020,1,15.71,0.67,70.52
7940,west midnapore,west bengal,2021,1,17.68,0.01,70.2
7949,bankura,west bengal,2021,1,17.26,0.01,67.7
7959,puruliya,west bengal,2021,1,16.73,0.02,64.19
7970,birbhum,west bengal,2021,1,17.38,0.0,60.97
8110,west midnapore,west bengal,2022,1,16.62,1.01,79.56
8119,bankura,west bengal,2022,1,15.89,1.01,78.15
8129,puruliya,west bengal,2022,1,14.98,0.94,77.14
8140,birbhum,west bengal,2022,1,15.9,0.67,76.66
8280,west midnapore,west bengal,2023,1,17.47,0.0,71.36
8289,bankura,west bengal,2023,1,17.16,0.0,66.71
8299,puruliya,west bengal,2023,1,16.35,0.0,64.35
8310,birbhum,west bengal,2023,1,17.66,0.0,55.79
8376,east midnapore,west bengal,2000,1,19.3,0.1,62.43
8377,north 24 parganas,west bengal,2000,1,19.76,0.14,60.5
8378,south 24 parganas,west bengal,2000,1,19.76,0.14,60.5
8379,haora,west bengal,2000,1,17.65,0.11,62.4
8380,kolkata,west bengal,2000,1,17.65,0.11,62.4
8383,hugli,west bengal,2000,1,17.09,0.12,61.69
8386,barddhaman,west bengal,2000,1,17.18,0.16,57.38
8387,nadia,west bengal,2000,1,17.92,0.16,55.12
8396,murshidabad,west bengal,2000,1,17.29,0.23,51.8
8403,maldah,west bengal,2000,1,16.82,0.19,52.77
8411,dakshin dinajpur,west bengal,2000,1,16.61,0.15,55.48
8419,uttar dinajpur,west bengal,2000,1,16.23,0.06,50.37
8431,east midnapore,west bengal,2001,1,18.28,0.0,56.69
8432,north 24 parganas,west bengal,2001,1,18.59,0.0,53.44
8433,south 24 parganas,west bengal,2001,1,18.59,0.0,53.44
8434,haora,west bengal,2001,1,16.72,0.0,54.25
8435,kolkata,west bengal,2001,1,16.72,0.0,54.25
8438,hugli,west bengal,2001,1,16.11,0.0,52.49
8441,barddhaman,west bengal,2001,1,15.97,0.0,49.79
8442,nadia,west bengal,2001,1,16.34,0.0,49.25
8451,murshidabad,west bengal,2001,1,16.02,0.01,44.64
8458,maldah,west bengal,2001,1,15.92,0.01,42.11
8466,dakshin dinajpur,west bengal,2001,1,15.91,0.01,45.3
8474,uttar dinajpur,west bengal,2001,1,15.72,0.01,39.84
8486,east midnapore,west bengal,2002,1,19.74,0.64,70.26
8487,north 24 parganas,west bengal,2002,1,19.86,0.59,68.35
8488,south 24 parganas,west bengal,2002,1,19.86,0.59,68.35
8489,haora,west bengal,2002,1,18.24,0.62,70.88
8490,kolkata,west bengal,2002,1,18.24,0.62,70.88
8493,hugli,west bengal,2002,1,17.8,0.55,68.74
8496,barddhaman,west bengal,2002,1,17.92,0.46,63.28
8497,nadia,west bengal,2002,1,18.34,0.41,60.76
8506,murshidabad,west bengal,2002,1,17.8,0.31,58.35
8513,maldah,west bengal,2002,1,17.28,0.25,59.45
8521,dakshin dinajpur,west bengal,2002,1,16.94,0.23,62.78
8529,uttar dinajpur,west bengal,2002,1,16.86,0.23,58.26
8541,east midnapore,west bengal,2003,1,17.66,0.0,61.32
8542,north 24 parganas,west bengal,2003,1,18.08,0.0,58.96
8543,south 24 parganas,west bengal,2003,1,18.08,0.0,58.96
8544,haora,west bengal,2003,1,16.06,0.0,61.05
8545,kolkata,west bengal,2003,1,16.06,0.0,61.05
8548,hugli,west bengal,2003,1,15.91,0.01,56.84
8551,barddhaman,west bengal,2003,1,16.1,0.01,52.02
8552,nadia,west bengal,2003,1,16.11,0.02,54.29
8561,murshidabad,west bengal,2003,1,15.38,0.06,53.57
8568,maldah,west bengal,2003,1,14.87,0.08,55.2
8576,dakshin dinajpur,west bengal,2003,1,14.81,0.12,57.0
8584,uttar dinajpur,west bengal,2003,1,14.71,0.14,50.84
8596,east midnapore,west bengal,2004,1,18.29,0.03,70.18
8597,north 24 parganas,west bengal,2004,1,18.66,0.02,68.63
8598,south 24 parganas,west bengal,2004,1,18.66,0.02,68.63
8599,haora,west bengal,2004,1,16.93,0.04,70.49
8600,kolkata,west bengal,2004,1,16.93,0.04,70.49
8603,hugli,west bengal,2004,1,16.84,0.07,66.67
8606,barddhaman,west bengal,2004,1,17.17,0.12,60.77
8607,nadia,west bengal,2004,1,17.49,0.11,62.06
8616,murshidabad,west bengal,2004,1,16.98,0.26,58.43
8623,maldah,west bengal,2004,1,16.61,0.33,58.87
8631,dakshin dinajpur,west bengal,2004,1,16.14,0.35,65.76
8639,uttar dinajpur,west bengal,2004,1,15.88,0.39,61.51
8651,east midnapore,west bengal,2005,1,19.51,0.91,68.16
8652,north 24 parganas,west bengal,2005,1,19.73,0.87,65.78
8653,south 24 parganas,west bengal,2005,1,19.73,0.87,65.78
8654,haora,west bengal,2005,1,17.95,0.91,69.26
8655,kolkata,west bengal,2005,1,17.95,0.91,69.26
8658,hugli,west bengal,2005,1,17.28,0.81,69.24
8661,barddhaman,west bengal,2005,1,17.09,0.65,67.21
8662,nadia,west bengal,2005,1,17.67,0.56,64.3
8671,murshidabad,west bengal,2005,1,16.4,0.41,68.19
8678,maldah,west bengal,2005,1,16.04,0.34,69.17
8686,dakshin dinajpur,west bengal,2005,1,16.16,0.3,69.3
8694,uttar dinajpur,west bengal,2005,1,15.84,0.29,66.31
8706,east midnapore,west bengal,2006,1,18.85,0.0,63.42
8707,north 24 parganas,west bengal,2006,1,18.97,0.0,62.57
8708,south 24 parganas,west bengal,2006,1,18.97,0.0,62.57
8709,haora,west bengal,2006,1,17.37,0.0,62.52
8710,kolkata,west bengal,2006,1,17.37,0.0,62.52
8713,hugli,west bengal,2006,1,16.93,0.0,60.87
8716,barddhaman,west bengal,2006,1,16.71,0.0,58.88
8717,nadia,west bengal,2006,1,17.03,0.0,59.11
8726,murshidabad,west bengal,2006,1,15.98,0.0,60.89
8733,maldah,west bengal,2006,1,15.65,0.0,62.26
8741,dakshin dinajpur,west bengal,2006,1,15.45,0.0,66.73
8749,uttar dinajpur,west bengal,2006,1,15.13,0.0,60.97
8761,east midnapore,west bengal,2007,1,18.65,0.08,62.35
8762,north 24 parganas,west bengal,2007,1,19.01,0.06,57.66
8763,south 24 parganas,west bengal,2007,1,19.01,0.06,57.66
8764,haora,west bengal,2007,1,17.01,0.06,61.35
8765,kolkata,west bengal,2007,1,17.01,0.06,61.35
8768,hugli,west bengal,2007,1,16.53,0.04,59.21
8771,barddhaman,west bengal,2007,1,16.69,0.02,53.77
8772,nadia,west bengal,2007,1,17.13,0.01,52.49
8781,murshidabad,west bengal,2007,1,16.64,0.0,48.97
8788,maldah,west bengal,2007,1,16.19,0.0,49.16
8796,dakshin dinajpur,west bengal,2007,1,15.91,0.0,53.62
8804,uttar dinajpur,west bengal,2007,1,15.22,0.01,52.5
8816,east midnapore,west bengal,2008,1,18.53,1.97,70.56
8817,north 24 parganas,west bengal,2008,1,18.86,1.82,69.23
8818,south 24 parganas,west bengal,2008,1,18.86,1.82,69.23
8819,haora,west bengal,2008,1,16.93,1.88,71.92
8820,kolkata,west bengal,2008,1,16.93,1.88,71.92
8823,hugli,west bengal,2008,1,16.32,1.65,72.38
8826,barddhaman,west bengal,2008,1,16.19,1.39,70.47
8827,nadia,west bengal,2008,1,16.79,1.38,68.74
8836,murshidabad,west bengal,2008,1,15.9,1.11,68.19
8843,maldah,west bengal,2008,1,15.68,1.05,66.9
8851,dakshin dinajpur,west bengal,2008,1,15.94,0.98,66.84
8859,uttar dinajpur,west bengal,2008,1,15.49,0.89,62.94
8871,east midnapore,west bengal,2009,1,20.58,0.02,69.35
8872,north 24 parganas,west bengal,2009,1,20.88,0.02,67.31
8873,south 24 parganas,west bengal,2009,1,20.88,0.02,67.31
8874,haora,west bengal,2009,1,19.12,0.03,69.05
8875,kolkata,west bengal,2009,1,19.12,0.03,69.05
8878,hugli,west bengal,2009,1,18.51,0.05,68.1
8881,barddhaman,west bengal,2009,1,18.67,0.05,62.83
8882,nadia,west bengal,2009,1,19.19,0.03,61.92
8891,murshidabad,west bengal,2009,1,18.81,0.04,57.14
8898,maldah,west bengal,2009,1,18.39,0.02,57.82
8906,dakshin dinajpur,west bengal,2009,1,18.02,0.01,65.53
8914,uttar dinajpur,west bengal,2009,1,17.36,0.01,63.58
8926,east midnapore,west bengal,2010,1,17.94,0.0,62.35
8927,north 24 parganas,west bengal,2010,1,18.56,0.0,58.05
8928,south 24 parganas,west bengal,2010,1,18.56,0.0,58.05
8929,haora,west bengal,2010,1,16.38,0.0,62.53
8930,kolkata,west bengal,2010,1,16.38,0.0,62.53
8933,hugli,west bengal,2010,1,15.9,0.0,62.88
8936,barddhaman,west bengal,2010,1,16.0,0.0,60.39
8937,nadia,west bengal,2010,1,16.5,0.0,59.14
8946,murshidabad,west bengal,2010,1,15.89,0.0,59.02
8953,maldah,west bengal,2010,1,15.53,0.0,60.56
8961,dakshin dinajpur,west bengal,2010,1,15.69,0.0,62.83
8969,uttar dinajpur,west bengal,2010,1,15.76,0.0,56.85
8981,east midnapore,west bengal,2011,1,18.53,0.03,63.28
8982,north 24 parganas,west bengal,2011,1,18.8,0.02,61.97
8983,south 24 parganas,west bengal,2011,1,18.8,0.02,61.97
8984,haora,west bengal,2011,1,17.05,0.03,61.78
8985,kolkata,west bengal,2011,1,17.05,0.03,61.78
8988,hugli,west bengal,2011,1,16.54,0.04,59.71
8991,barddhaman,west bengal,2011,1,16.48,0.05,55.65
8992,nadia,west bengal,2011,1,16.54,0.04,59.06
9001,murshidabad,west bengal,2011,1,15.94,0.07,54.19
9008,maldah,west bengal,2011,1,15.41,0.07,56.09
9016,dakshin dinajpur,west bengal,2011,1,14.87,0.09,64.97
9024,uttar dinajpur,west bengal,2011,1,14.39,0.12,63.64
9036,east midnapore,west bengal,2012,1,19.65,1.99,70.18
9037,north 24 parganas,west bengal,2012,1,20.02,1.7,67.28
9038,south 24 parganas,west bengal,2012,1,20.02,1.7,67.28
9039,haora,west bengal,2012,1,18.35,1.74,70.52
9040,kolkata,west bengal,2012,1,18.35,1.74,70.52
9043,hugli,west bengal,2012,1,17.67,1.44,69.99
9046,barddhaman,west bengal,2012,1,17.44,1.11,67.11
9047,nadia,west bengal,2012,1,18.05,1.01,63.18
9056,murshidabad,west bengal,2012,1,17.16,0.49,61.17
9063,maldah,west bengal,2012,1,16.71,0.34,60.44
9071,dakshin dinajpur,west bengal,2012,1,16.28,0.29,61.41
9079,uttar dinajpur,west bengal,2012,1,15.64,0.26,61.17
9091,east midnapore,west bengal,2013,1,17.43,0.11,63.1
9092,north 24 parganas,west bengal,2013,1,17.93,0.1,59.39
9093,south 24 parganas,west bengal,2013,1,17.93,0.1,59.39
9094,haora,west bengal,2013,1,15.91,0.11,60.57
9095,kolkata,west bengal,2013,1,15.91,0.11,60.57
9098,hugli,west bengal,2013,1,15.45,0.11,57.95
9101,barddhaman,west bengal,2013,1,15.42,0.08,53.68
9102,nadia,west bengal,2013,1,15.75,0.09,53.51
9111,murshidabad,west bengal,2013,1,15.16,0.02,48.87
9118,maldah,west bengal,2013,1,14.76,0.01,48.94
9126,dakshin dinajpur,west bengal,2013,1,14.28,0.03,52.51
9134,uttar dinajpur,west bengal,2013,1,14.22,0.11,49.34
9146,east midnapore,west bengal,2014,1,18.37,0.0,69.64
9147,north 24 parganas,west bengal,2014,1,18.72,0.0,66.77
9148,south 24 parganas,west bengal,2014,1,18.72,0.0,66.77
9149,haora,west bengal,2014,1,16.73,0.01,71.76
9150,kolkata,west bengal,2014,1,16.73,0.01,71.76
9153,hugli,west bengal,2014,1,16.08,0.01,73.05
9156,barddhaman,west bengal,2014,1,16.07,0.02,70.59
9157,nadia,west bengal,2014,1,16.6,0.02,67.71
9166,murshidabad,west bengal,2014,1,16.69,0.01,63.01
9173,maldah,west bengal,2014,1,16.45,0.01,63.42
9181,dakshin dinajpur,west bengal,2014,1,15.99,0.0,68.42
9189,uttar dinajpur,west bengal,2014,1,15.92,0.0,65.58
9201,east midnapore,west bengal,2015,1,18.69,1.36,68.61
9202,north 24 parganas,west bengal,2015,1,19.22,1.23,65.6
9203,south 24 parganas,west bengal,2015,1,19.22,1.23,65.6
9204,haora,west bengal,2015,1,17.66,1.32,66.43
9205,kolkata,west bengal,2015,1,17.66,1.32,66.43
9208,hugli,west bengal,2015,1,17.54,1.01,63.19
9211,barddhaman,west bengal,2015,1,17.69,0.71,58.8
9212,nadia,west bengal,2015,1,18.17,0.49,57.89
9221,murshidabad,west bengal,2015,1,17.71,0.48,55.26
9228,maldah,west bengal,2015,1,17.5,0.5,55.71
9236,dakshin dinajpur,west bengal,2015,1,17.33,0.53,60.21
9244,uttar dinajpur,west bengal,2015,1,17.23,0.41,58.42
9256,east midnapore,west bengal,2016,1,20.61,0.2,62.5
9257,north 24 parganas,west bengal,2016,1,20.66,0.19,59.14
9258,south 24 parganas,west bengal,2016,1,20.66,0.19,59.14
9259,haora,west bengal,2016,1,19.49,0.2,58.33
9260,kolkata,west bengal,2016,1,19.49,0.2,58.33
9263,hugli,west bengal,2016,1,18.92,0.31,54.68
9266,barddhaman,west bengal,2016,1,18.69,0.56,50.89
9267,nadia,west bengal,2016,1,18.92,0.39,50.96
9276,murshidabad,west bengal,2016,1,18.43,0.81,46.57
9283,maldah,west bengal,2016,1,18.01,0.6,45.92
9291,dakshin dinajpur,west bengal,2016,1,17.36,0.45,50.14
9299,uttar dinajpur,west bengal,2016,1,17.02,0.27,47.94
9311,east midnapore,west bengal,2017,1,19.07,0.09,66.87
9312,north 24 parganas,west bengal,2017,1,19.34,0.02,64.78
9313,south 24 parganas,west bengal,2017,1,19.34,0.02,64.78
9314,haora,west bengal,2017,1,17.95,0.08,65.98
9315,kolkata,west bengal,2017,1,17.95,0.08,65.98
9318,hugli,west bengal,2017,1,17.78,0.05,63.65
9321,barddhaman,west bengal,2017,1,18.02,0.03,59.57
9322,nadia,west bengal,2017,1,18.41,0.02,58.27
9331,murshidabad,west bengal,2017,1,18.08,0.08,57.03
9338,maldah,west bengal,2017,1,17.58,0.12,59.17
9346,dakshin dinajpur,west bengal,2017,1,16.99,0.16,64.04
9354,uttar dinajpur,west bengal,2017,1,17.21,0.13,58.85
9366,east midnapore,west bengal,2018,1,17.19,0.0,64.85
9367,north 24 parganas,west bengal,2018,1,17.24,0.0,64.99
9368,south 24 parganas,west bengal,2018,1,17.24,0.0,64.99
9369,haora,west bengal,2018,1,15.63,0.0,65.05
9370,kolkata,west bengal,2018,1,15.63,0.0,65.05
9373,hugli,west bengal,2018,1,14.98,0.0,65.48
9376,barddhaman,west bengal,2018,1,14.78,0.0,63.69
9377,nadia,west bengal,2018,1,15.06,0.0,64.21
9386,murshidabad,west bengal,2018,1,14.41,0.0,61.84
9393,maldah,west bengal,2018,1,14.14,0.0,61.98
9401,dakshin dinajpur,west bengal,2018,1,14.11,0.0,64.74
9409,uttar dinajpur,west bengal,2018,1,14.61,0.0,55.95
9421,east midnapore,west bengal,2019,1,18.66,0.0,61.43
9422,north 24 parganas,west bengal,2019,1,19.28,0.0,57.07
9423,south 24 parganas,west bengal,2019,1,19.28,0.0,57.07
9424,haora,west bengal,2019,1,17.93,0.0,56.33
9425,kolkata,west bengal,2019,1,17.93,0.0,56.33
9428,hugli,west bengal,2019,1,17.83,0.0,52.88
9431,barddhaman,west bengal,2019,1,18.0,0.0,49.81
9432,nadia,west bengal,2019,1,18.31,0.0,51.83
9441,murshidabad,west bengal,2019,1,18.07,0.02,48.5
9448,maldah,west bengal,2019,1,17.89,0.03,49.71
9456,dakshin dinajpur,west bengal,2019,1,17.92,0.01,57.24
9464,uttar dinajpur,west bengal,2019,1,17.92,0.04,50.79
9476,east midnapore,west bengal,2020,1,17.95,1.68,73.46
9477,north 24 parganas,west bengal,2020,1,18.15,1.72,73.36
9478,south 24 parganas,west bengal,2020,1,18.15,1.72,73.36
9479,haora,west bengal,2020,1,16.79,1.45,74.68
9480,kolkata,west bengal,2020,1,16.79,1.45,74.68
9483,hugli,west bengal,2020,1,16.52,1.17,73.34
9486,barddhaman,west bengal,2020,1,16.6,0.88,69.6
9487,nadia,west bengal,2020,1,16.41,1.13,74.66
9496,murshidabad,west bengal,2020,1,15.96,0.57,71.63
9503,maldah,west bengal,2020,1,15.39,0.43,74.67
9511,dakshin dinajpur,west bengal,2020,1,15.21,0.56,76.73
9519,uttar dinajpur,west bengal,2020,1,15.31,0.39,71.87
9531,east midnapore,west bengal,2021,1,19.79,0.01,67.54
9532,north 24 parganas,west bengal,2021,1,20.12,0.02,66.44
9533,south 24 parganas,west bengal,2021,1,20.12,0.02,66.44
9534,haora,west bengal,2021,1,18.54,0.01,66.14
9535,kolkata,west bengal,2021,1,18.54,0.01,66.14
9538,hugli,west bengal,2021,1,18.04,0.02,64.83
9541,barddhaman,west bengal,2021,1,17.92,0.02,62.66
9542,nadia,west bengal,2021,1,17.92,0.13,65.3
9551,murshidabad,west bengal,2021,1,17.15,0.0,64.56
9558,maldah,west bengal,2021,1,16.68,0.0,65.76
9566,dakshin dinajpur,west bengal,2021,1,16.56,0.02,67.81
9574,uttar dinajpur,west bengal,2021,1,16.31,0.04,64.66
9586,east midnapore,west bengal,2022,1,18.29,0.85,76.66
9587,north 24 parganas,west bengal,2022,1,18.56,0.63,75.69
9588,south 24 parganas,west bengal,2022,1,18.56,0.63,75.69
9589,haora,west bengal,2022,1,17.07,0.89,78.66
9590,kolkata,west bengal,2022,1,17.07,0.89,78.66
9593,hugli,west bengal,2022,1,16.63,0.87,79.06
9596,barddhaman,west bengal,2022,1,16.46,0.73,78.24
9597,nadia,west bengal,2022,1,16.8,0.73,77.94
9606,murshidabad,west bengal,2022,1,16.54,0.43,74.87
9613,maldah,west bengal,2022,1,16.31,0.38,75.87
9621,dakshin dinajpur,west bengal,2022,1,16.11,0.6,79.16
9629,uttar dinajpur,west bengal,2022,1,15.93,0.34,78.62
9641,east midnapore,west bengal,2023,1,19.63,0.01,67.91
9642,north 24 parganas,west bengal,2023,1,20.15,0.0,65.96
9643,south 24 parganas,west bengal,2023,1,20.15,0.0,65.96
9644,haora,west bengal,2023,1,18.77,0.0,63.59
9645,kolkata,west bengal,2023,1,18.77,0.0,63.59
9648,hugli,west bengal,2023,1,18.65,0.0,58.98
9651,barddhaman,west bengal,2023,1,18.67,0.0,54.8
9652,nadia,west bengal,2023,1,18.56,0.01,59.51
9661,murshidabad,west bengal,2023,1,18.0,0.0,54.0
9668,maldah,west bengal,2023,1,17.38,0.0,56.35
9676,dakshin dinajpur,west bengal,2023,1,16.79,0.0,64.44
9684,uttar dinajpur,west bengal,2023,1,16.45,0.0,63.14
13321,jalpaiguri,west bengal,2000,1,16.86,0.03,46.6
13322,kochbihar,west bengal,2000,1,16.12,0.06,55.81
13333,darjiling,west bengal,2000,1,10.9,0.02,42.26
13360,jalpaiguri,west bengal,2001,1,16.0,0.01,41.11
13361,kochbihar,west bengal,2001,1,15.35,0.01,48.65
13372,darjiling,west bengal,2001,1,10.76,0.01,36.41
13399,jalpaiguri,west bengal,2002,1,17.51,0.24,53.05
13400,kochbihar,west bengal,2002,1,16.72,0.25,59.1
13411,darjiling,west bengal,2002,1,11.16,0.24,51.42
13438,jalpaiguri,west bengal,2003,1,15.48,0.18,46.57
13439,kochbihar,west bengal,2003,1,14.85,0.21,54.21
13450,darjiling,west bengal,2003,1,10.77,0.19,39.32
13477,jalpaiguri,west bengal,2004,1,16.25,0.37,59.19
13478,kochbihar,west bengal,2004,1,15.64,0.33,64.83
13489,darjiling,west bengal,2004,1,10.39,0.35,55.12
13516,jalpaiguri,west bengal,2005,1,16.23,0.3,62.88
13517,kochbihar,west bengal,2005,1,15.62,0.32,67.75
13528,darjiling,west bengal,2005,1,10.84,0.3,56.3
13555,jalpaiguri,west bengal,2006,1,15.87,0.0,58.43
13556,kochbihar,west bengal,2006,1,15.54,0.0,64.74
13567,darjiling,west bengal,2006,1,12.01,0.0,44.29
13594,jalpaiguri,west bengal,2007,1,16.08,0.03,49.55
13595,kochbihar,west bengal,2007,1,15.81,0.04,52.85
13606,darjiling,west bengal,2007,1,10.95,0.05,45.99
13633,jalpaiguri,west bengal,2008,1,16.29,0.74,58.61
13634,kochbihar,west bengal,2008,1,15.88,0.77,62.86
13645,darjiling,west bengal,2008,1,10.89,0.56,52.99
13672,jalpaiguri,west bengal,2009,1,17.61,0.02,63.46
13673,kochbihar,west bengal,2009,1,17.11,0.02,67.52
13684,darjiling,west bengal,2009,1,12.38,0.03,54.87
13711,jalpaiguri,west bengal,2010,1,16.84,0.0,51.96
13712,kochbihar,west bengal,2010,1,16.2,0.0,59.19
13723,darjiling,west bengal,2010,1,11.94,0.0,44.43
13750,jalpaiguri,west bengal,2011,1,15.07,0.13,60.26
13751,kochbihar,west bengal,2011,1,14.56,0.09,65.09
13762,darjiling,west bengal,2011,1,9.37,0.14,57.23
13789,jalpaiguri,west bengal,2012,1,15.93,0.25,57.0
13790,kochbihar,west bengal,2012,1,15.32,0.27,61.01
13801,darjiling,west bengal,2012,1,9.66,0.24,56.66
13828,jalpaiguri,west bengal,2013,1,15.93,0.16,41.67
13829,kochbihar,west bengal,2013,1,15.33,0.1,48.71
13840,darjiling,west bengal,2013,1,11.1,0.17,35.21
13867,jalpaiguri,west bengal,2014,1,17.14,0.0,59.49
13868,kochbihar,west bengal,2014,1,16.76,0.01,64.21
13879,darjiling,west bengal,2014,1,11.95,0.01,53.11
13906,jalpaiguri,west bengal,2015,1,18.55,0.45,53.93
13907,kochbihar,west bengal,2015,1,17.97,0.48,60.18
13918,darjiling,west bengal,2015,1,12.4,0.29,52.27
13945,jalpaiguri,west bengal,2016,1,17.64,0.21,48.48
13946,kochbihar,west bengal,2016,1,17.0,0.27,55.87
13957,darjiling,west bengal,2016,1,10.88,0.2,53.08
13984,jalpaiguri,west bengal,2017,1,18.3,0.12,52.68
13985,kochbihar,west bengal,2017,1,17.74,0.09,58.03
13996,darjiling,west bengal,2017,1,12.26,0.07,51.23
14023,jalpaiguri,west bengal,2018,1,16.12,0.01,52.95
14024,kochbihar,west bengal,2018,1,15.59,0.01,60.53
14035,darjiling,west bengal,2018,1,10.93,0.01,50.02
14062,jalpaiguri,west bengal,2019,1,18.55,0.03,48.27
14063,kochbihar,west bengal,2019,1,17.8,0.02,53.98
14074,darjiling,west bengal,2019,1,11.59,0.06,50.61
14101,jalpaiguri,west bengal,2020,1,16.06,0.51,66.31
14102,kochbihar,west bengal,2020,1,15.52,0.35,69.97
14113,darjiling,west bengal,2020,1,10.14,0.79,64.08
14140,jalpaiguri,west bengal,2021,1,17.21,0.15,61.64
14141,kochbihar,west bengal,2021,1,16.69,0.1,67.2
14152,darjiling,west bengal,2021,1,11.94,0.13,58.37
14179,jalpaiguri,west bengal,2022,1,16.65,0.31,73.68
